86
HHV8GK18_gp01	HHV8GK18_gp01	MissingGeneType
HHV8GK18_gp02	HHV8GK18_gp02	MissingGeneType
HHV8GK18_gp03	HHV8GK18_gp03	MissingGeneType
HHV8GK18_gp04	HHV8GK18_gp04	MissingGeneType
HHV8GK18_gp05	HHV8GK18_gp05	MissingGeneType
HHV8GK18_gp06	HHV8GK18_gp06	MissingGeneType
HHV8GK18_gp07	HHV8GK18_gp07	MissingGeneType
HHV8GK18_gp08	HHV8GK18_gp08	MissingGeneType
HHV8GK18_gp09	HHV8GK18_gp09	MissingGeneType
HHV8GK18_gp10	HHV8GK18_gp10	MissingGeneType
HHV8GK18_gp11	HHV8GK18_gp11	MissingGeneType
HHV8GK18_gp12	HHV8GK18_gp12	MissingGeneType
HHV8GK18_gp13	HHV8GK18_gp13	MissingGeneType
HHV8GK18_gp14	HHV8GK18_gp14	MissingGeneType
HHV8GK18_gp15	HHV8GK18_gp15	MissingGeneType
HHV8GK18_gp16	HHV8GK18_gp16	MissingGeneType
HHV8GK18_gp17	HHV8GK18_gp17	MissingGeneType
HHV8GK18_gp18	HHV8GK18_gp18	MissingGeneType
HHV8GK18_gp19	HHV8GK18_gp19	MissingGeneType
HHV8GK18_gp20	HHV8GK18_gp20	MissingGeneType
HHV8GK18_gp21	HHV8GK18_gp21	MissingGeneType
HHV8GK18_gp22	HHV8GK18_gp22	MissingGeneType
HHV8GK18_gp23	HHV8GK18_gp23	MissingGeneType
HHV8GK18_gp24	HHV8GK18_gp24	MissingGeneType
HHV8GK18_gp25	HHV8GK18_gp25	MissingGeneType
HHV8GK18_gp26	HHV8GK18_gp26	MissingGeneType
HHV8GK18_gp27	HHV8GK18_gp27	MissingGeneType
HHV8GK18_gp28	HHV8GK18_gp28	MissingGeneType
HHV8GK18_gp29	HHV8GK18_gp29	MissingGeneType
HHV8GK18_gp30	HHV8GK18_gp30	MissingGeneType
HHV8GK18_gp31	HHV8GK18_gp31	MissingGeneType
HHV8GK18_gp32	HHV8GK18_gp32	MissingGeneType
HHV8GK18_gp33	HHV8GK18_gp33	MissingGeneType
HHV8GK18_gp34	HHV8GK18_gp34	MissingGeneType
HHV8GK18_gp35	HHV8GK18_gp35	MissingGeneType
HHV8GK18_gp36	HHV8GK18_gp36	MissingGeneType
HHV8GK18_gp37	HHV8GK18_gp37	MissingGeneType
HHV8GK18_gp38	HHV8GK18_gp38	MissingGeneType
HHV8GK18_gp39	HHV8GK18_gp39	MissingGeneType
HHV8GK18_gp40	HHV8GK18_gp40	MissingGeneType
HHV8GK18_gp41	HHV8GK18_gp41	MissingGeneType
HHV8GK18_gp42	HHV8GK18_gp42	MissingGeneType
HHV8GK18_gp43	HHV8GK18_gp43	MissingGeneType
HHV8GK18_gp44	HHV8GK18_gp44	MissingGeneType
HHV8GK18_gp45	HHV8GK18_gp45	MissingGeneType
HHV8GK18_gp46	HHV8GK18_gp46	MissingGeneType
HHV8GK18_gp47	HHV8GK18_gp47	MissingGeneType
HHV8GK18_gp48	HHV8GK18_gp48	MissingGeneType
HHV8GK18_gp49	HHV8GK18_gp49	MissingGeneType
HHV8GK18_gp50	HHV8GK18_gp50	MissingGeneType
HHV8GK18_gp51	HHV8GK18_gp51	MissingGeneType
HHV8GK18_gp52	HHV8GK18_gp52	MissingGeneType
HHV8GK18_gp53	HHV8GK18_gp53	MissingGeneType
HHV8GK18_gp54	HHV8GK18_gp54	MissingGeneType
HHV8GK18_gp55	HHV8GK18_gp55	MissingGeneType
HHV8GK18_gp56	HHV8GK18_gp56	MissingGeneType
HHV8GK18_gp57	HHV8GK18_gp57	MissingGeneType
HHV8GK18_gp58	HHV8GK18_gp58	MissingGeneType
HHV8GK18_gp59	HHV8GK18_gp59	MissingGeneType
HHV8GK18_gp60	HHV8GK18_gp60	MissingGeneType
HHV8GK18_gp61	HHV8GK18_gp61	MissingGeneType
HHV8GK18_gp62	HHV8GK18_gp62	MissingGeneType
HHV8GK18_gp63	HHV8GK18_gp63	MissingGeneType
HHV8GK18_gp64	HHV8GK18_gp64	MissingGeneType
HHV8GK18_gp65	HHV8GK18_gp65	MissingGeneType
HHV8GK18_gp66	HHV8GK18_gp66	MissingGeneType
HHV8GK18_gp67	HHV8GK18_gp67	MissingGeneType
HHV8GK18_gp68	HHV8GK18_gp68	MissingGeneType
HHV8GK18_gp69	HHV8GK18_gp69	MissingGeneType
HHV8GK18_gp70	HHV8GK18_gp70	MissingGeneType
HHV8GK18_gp71	HHV8GK18_gp71	MissingGeneType
HHV8GK18_gp72	HHV8GK18_gp72	MissingGeneType
HHV8GK18_gp73	HHV8GK18_gp73	MissingGeneType
HHV8GK18_gp74	HHV8GK18_gp74	MissingGeneType
HHV8GK18_gp75	HHV8GK18_gp75	MissingGeneType
HHV8GK18_gp76	HHV8GK18_gp76	MissingGeneType
HHV8GK18_gp77	HHV8GK18_gp77	MissingGeneType
HHV8GK18_gp78	HHV8GK18_gp78	MissingGeneType
HHV8GK18_gp79	HHV8GK18_gp79	MissingGeneType
HHV8GK18_gp80	HHV8GK18_gp80	MissingGeneType
HHV8GK18_gp81	HHV8GK18_gp81	MissingGeneType
HHV8GK18_gp82	HHV8GK18_gp82	MissingGeneType
HHV8GK18_gp83	HHV8GK18_gp83	MissingGeneType
HHV8GK18_gp84	HHV8GK18_gp84	MissingGeneType
HHV8GK18_gp85	HHV8GK18_gp85	MissingGeneType
HHV8GK18_gp86	HHV8GK18_gp86	MissingGeneType
